DIRECTORY,FILENAME,TYPE,SOURCE,FILESIZE
apps/symbolic,guake-notification.svg,symlink,./guake-tray.svg,16
apps/symbolic,system-file-manager-symbolic.svg,svg,,4072
apps/symbolic,utilities-terminal-symbolic.svg,svg,,5032
apps/symbolic,preferences-desktop-accessibility-symbolic.svg,svg,,2791
apps/symbolic,preferences-system-network-symbolic.svg,svg,,1479
apps/symbolic,preferences-system-search-symbolic.svg,svg,,4938
apps/symbolic,preferences-desktop-display-symbolic.svg,svg,,2482
apps/symbolic,web-browser-symbolic.svg,svg,,8154
apps/symbolic,preferences-system-time-symbolic.svg,svg,,5054
apps/symbolic,preferences-system-sharing-symbolic.svg,svg,,5348
apps/symbolic,preferences-desktop-remote-desktop-symbolic.svg,svg,,2897
apps/symbolic,preferences-system-notifications-symbolic.svg,svg,,6425
apps/symbolic,applets-screenshooter-symbolic.svg,svg,,1474
apps/symbolic,preferences-desktop-keyboard-shortcuts-symbolic.svg,svg,,6245
apps/symbolic,text-editor-symbolic.svg,svg,,4741
apps/symbolic,audacious-symbolic.svg,symlink,./audacious-panel.svg,21
apps/symbolic,system-software-install-symbolic.svg,svg,,5201
apps/symbolic,vlc-panel.svg,symlink,./vlc.svg,9
apps/symbolic,help-browser-symbolic.svg,svg,,6208
apps/symbolic,preferences-system-network-proxy-symbolic.svg,svg,,6515
apps/symbolic,accessories-character-map-symbolic.svg,svg,,7255
apps/symbolic,preferences-color-symbolic.svg,svg,,6471
apps/symbolic,audacious-panel.svg,svg,,9182
apps/symbolic,user-info-symbolic.svg,svg,,4859
apps/symbolic,preferences-desktop-wallpaper-symbolic.svg,svg,,1298
apps/symbolic,system-users-symbolic.svg,svg,,5233
apps/symbolic,vlc.svg,svg,,1451
apps/symbolic,synapse-symbolic.svg,symlink,./synapse.svg,13
apps/symbolic,preferences-desktop-screensaver-symbolic.svg,svg,,5788
apps/symbolic,utilities-system-monitor-symbolic.svg,svg,,4847
apps/symbolic,accessories-text-editor-symbolic.svg,svg,,11079
apps/symbolic,goa-panel-symbolic.svg,svg,,7401
apps/symbolic,bluetooth-symbolic.svg,svg,,6153
apps/symbolic,guake-tray.svg,svg,,839
apps/symbolic,synapse.svg,svg,,10475
apps/symbolic,gnome-power-manager-symbolic.svg,svg,,2584
apps/symbolic,accessories-dictionary-symbolic.svg,svg,,6957
apps/symbolic,preferences-system-privacy-symbolic.svg,svg,,9973
apps/symbolic,preferences-desktop-locale-symbolic.svg,svg,,5235
apps/symbolic,accessories-calculator-symbolic.svg,svg,,6161
apps/symbolic,synapse-panel.svg,symlink,./synapse.svg,13
apps/16,evince.png,png,,650
apps/16,gnome-app-install.png,symlink,./synaptic.png,14
apps/16,system-users.png,symlink,./config-users.png,18
apps/16,preferences-desktop-keyboard.png,symlink,../../devices/16/keyboard.png,29
apps/16,gnome-settings-background.png,symlink,./preferences-desktop-wallpaper.png,35
apps/16,amarok.png,png,,732
apps/16,gnome-terminal.png,symlink,./utilities-terminal.png,24
apps/16,gwenview.png,symlink,./eog.png,9
apps/16,utilities-log-viewer.png,symlink,./logviewer.png,15
apps/16,gpk-repo.png,symlink,./software-properties.png,25
apps/16,mpv.png,png,,727
apps/16,scim-setup.png,png,,652
apps/16,file-manager.png,symlink,./system-file-manager.png,25
apps/16,midori.png,png,,786
apps/16,utilities-system-monitor.png,png,,550
apps/16,libreoffice34-calc.png,symlink,./libreoffice-calc.png,22
apps/16,ristretto.png,symlink,./eog.png,9
apps/16,libreoffice3-calc.png,symlink,./libreoffice-calc.png,22
apps/16,google-chrome-unstable.png,symlink,./google-chrome.png,19
apps/16,bt-logo.png,symlink,./preferences-system-bluetooth.png,34
apps/16,system-suspend-hibernate.png,symlink,./gnome-session-hibernate.png,29
apps/16,goa-panel.png,png,,699
apps/16,libreoffice34-startcenter.png,symlink,./libreoffice-main.png,22
apps/16,system-hibernate.png,symlink,./gnome-session-hibernate.png,29
apps/16,preferences-system-time.png,symlink,./time-admin.png,16
apps/16,hotwire.png,symlink,./utilities-terminal.png,24
apps/16,preferences-color.png,png,,675
apps/16,virtualbox-ose.png,symlink,./virtualbox.png,16
apps/16,pidgin.png,png,,607
apps/16,gcolor2.png,png,,625
apps/16,libreoffice-base.png,png,,632
apps/16,libreoffice5.0-startcenter.png,symlink,./libreoffice-main.png,22
apps/16,blueradio-48.png,symlink,./preferences-system-bluetooth.png,34
apps/16,preferences-system-power.png,symlink,../../devices/16/battery.png,28
apps/16,cheese.png,png,,852
apps/16,Xecure-Browser.png,symlink,./x-browser.png,15
apps/16,key-mon.png,png,,538
apps/16,system-config-displayca.png,symlink,./gnome-display-properties.png,30
apps/16,preferences-system-power-management.png,symlink,../../devices/16/battery.png,28
apps/16,libreoffice34-writer.png,symlink,./libreoffice-writer.png,24
apps/16,wallpaper.png,symlink,./preferences-desktop-wallpaper.png,35
apps/16,preferences-sound.png,symlink,./preferences-desktop-sound.png,31
apps/16,startupmanager.png,symlink,../../categories/16/preferences-desktop.png,43
apps/16,preferences-desktop-sound.png,png,,562
apps/16,libreoffice5.0-draw.png,symlink,./libreoffice-draw.png,22
apps/16,libreoffice-startcenter.png,symlink,./libreoffice-main.png,22
apps/16,gnome-audio.png,symlink,./preferences-desktop-sound.png,31
apps/16,synaptic.png,png,,733
apps/16,gksu-debian.png,symlink,./gksu-root-terminal.png,24
apps/16,logviewer.png,png,,604
apps/16,qbittorrent.png,png,,695
apps/16,gnome-package.png,symlink,./synaptic.png,14
apps/16,libreoffice-template.png,symlink,./libreoffice-main.png,22
apps/16,gnome-session-logout.png,symlink,./gnome-logout.png,18
apps/16,synapse.png,png,,693
apps/16,kedit.png,symlink,./accessories-text-editor.png,29
apps/16,gnome-power-manager.png,symlink,../../devices/16/battery.png,28
apps/16,tilda.png,symlink,./utilities-terminal.png,24
apps/16,gpicview.png,symlink,./eog.png,9
apps/16,bash.png,symlink,./utilities-terminal.png,24
apps/16,gnome-shutdown.png,png,,408
apps/16,system-config-display.png,symlink,./gnome-display-properties.png,30
apps/16,gnome-display-properties.png,png,,438
apps/16,office-date.png,symlink,./evolution-calendar.png,24
apps/16,preferences-desktop-peripherals.png,symlink,../../devices/16/input-mouse.png,32
apps/16,firefox-3.5.png,symlink,./firefox.png,13
apps/16,gedit.png,symlink,./accessories-text-editor.png,29
apps/16,gkdebconf.png,symlink,../../categories/16/preferences-desktop.png,43
apps/16,un-reboot.png,symlink,./gnome-session-reboot.png,26
apps/16,preferences-desktop-wallpaper.png,png,,653
apps/16,atom.png,png,,658
apps/16,redhat-tools.png,symlink,../../categories/16/preferences-desktop.png,43
apps/16,boot.png,symlink,./gnome-shutdown.png,20
apps/16,libreoffice3-template.png,symlink,./libreoffice-main.png,22
apps/16,notifications.png,png,,530
apps/16,libreoffice-writer.png,png,,585
apps/16,zsnes.png,symlink,../../categories/16/applications-games.png,42
apps/16,logview.png,symlink,./logviewer.png,15
apps/16,xarchiver.png,symlink,./file-roller.png,17
apps/16,org.gnome.Software.png,png,,669
apps/16,susers.png,symlink,./config-users.png,18
apps/16,chromium.png.png,symlink,./chromium-browser.png,22
apps/16,speedcrunch.png,symlink,./accessories-calculator.png,28
apps/16,x-system-software-sources.png,symlink,./software-properties.png,25
apps/16,system-config-date.png,symlink,./evolution-calendar.png,24
apps/16,gnome-desktop-config.png,symlink,../../categories/16/preferences-desktop.png,43
apps/16,x-browser.png,png,,720
apps/16,xfce-terminal.png,symlink,./utilities-terminal.png,24
apps/16,gnome-nettool.png,png,,616
apps/16,goa-account.png,symlink,./goa-panel.png,15
apps/16,libreoffice3-startcenter.png,symlink,./libreoffice-main.png,22
apps/16,gnome-session-halt.png,symlink,./gnome-shutdown.png,20
apps/16,libreoffice-draw.png,png,,598
apps/16,gimp.png,png,,644
apps/16,x-office-calendar.png,symlink,./evolution-calendar.png,24
apps/16,opera.png,png,,617
apps/16,gnome-session-sleep.png,symlink,./gnome-session-suspend.png,27
apps/16,xfsm-shutdown.png,symlink,./gnome-shutdown.png,20
apps/16,screenie.png,symlink,./gnome-screenshot.png,22
apps/16,display-capplet.png,symlink,./gnome-display-properties.png,30
apps/16,software-properties.png,png,,678
apps/16,gnome-xterm.png,symlink,./utilities-terminal.png,24
apps/16,gparted.png,png,,693
apps/16,xfce-filemanager.png,symlink,./system-file-manager.png,25
apps/16,galculator.png,symlink,./accessories-calculator.png,28
apps/16,preferences-system-sharing.png,png,,595
apps/16,libreoffice34-draw.png,symlink,./libreoffice-draw.png,22
apps/16,korganizer.png,symlink,./evolution-calendar.png,24
apps/16,gkamus.png,png,,457
apps/16,calc.png,symlink,./accessories-calculator.png,28
apps/16,libreoffice3-draw.png,symlink,./libreoffice-draw.png,22
apps/16,gnome-system-monitor.png,symlink,./utilities-system-monitor.png,30
apps/16,virt-viewer.png,symlink,./gnome-display-properties.png,30
apps/16,bluetoothradio.png,symlink,./preferences-system-bluetooth.png,34
apps/16,plan.png,symlink,./evolution-calendar.png,24
apps/16,mousepad.png,symlink,./accessories-text-editor.png,29
apps/16,nautilus-cd-burner.png,symlink,./brasero.png,13
apps/16,libreoffice34-math.png,symlink,./libreoffice-math.png,22
apps/16,gnome-session-switch.png,png,,346
apps/16,sublime.png,png,,587
apps/16,preferences-desktop-display.png,symlink,./gnome-display-properties.png,30
apps/16,preferences_system_power_management.png,symlink,../../devices/16/battery.png,28
apps/16,stock_calendar.png,symlink,./evolution-calendar.png,24
apps/16,xfsm-switch.png,symlink,./gnome-session-switch.png,26
apps/16,brasero.png,png,,723
apps/16,blueman.png,symlink,./preferences-system-bluetooth.png,34
apps/16,xfsm-logout.png,symlink,./gnome-logout.png,18
apps/16,mozilla-firefox.png,symlink,./firefox.png,13
apps/16,access.png,symlink,./preferences-desktop-accessibility.png,39
apps/16,security-medium.png,symlink,./security.png,14
apps/16,opera-widget.png,symlink,./opera-widget-manager.png,26
apps/16,libreoffice34-impress.png,symlink,./libreoffice-impress.png,25
apps/16,preferences-system-bluetooth.png,png,,645
apps/16,gnome-calendar.png,symlink,./evolution-calendar.png,24
apps/16,opera-browser.png,symlink,./opera.png,11
apps/16,gnome-session-suspend.png,png,,386
apps/16,power.png,symlink,../../devices/16/battery.png,28
apps/16,gnome-term.png,symlink,./utilities-terminal.png,24
apps/16,gnome-calculator.png,symlink,./accessories-calculator.png,28
apps/16,terminal.png,symlink,./utilities-terminal.png,24
apps/16,unity-power-panel.png,symlink,../../devices/16/battery.png,28
apps/16,gthumb.png,symlink,./eog.png,9
apps/16,k3b.png,symlink,./brasero.png,13
apps/16,accessories-calculator.png,png,,547
apps/16,network-workgroup.png,png,,519
apps/16,edit-urpm-sources.png,symlink,./software-properties.png,25
apps/16,mtpaint.png,symlink,./gimp.png,10
apps/16,gnome-log-out.png,symlink,./gnome-logout.png,18
apps/16,chromium.png,symlink,./chromium-browser.png,22
apps/16,shares.png,symlink,../../places/16/folder-remote.png,33
apps/16,org.gnome.Cheese.png,symlink,./cheese.png,12
apps/16,unity-display-panel.png,symlink,./gnome-display-properties.png,30
apps/16,xfburn.png,symlink,./brasero.png,13
apps/16,libreoffice-calc.png,png,,649
apps/16,eog.png,png,,604
apps/16,bluetooth-48.png,symlink,./preferences-system-bluetooth.png,34
apps/16,praat.png,png,,494
apps/16,openterm.png,symlink,./utilities-terminal.png,24
apps/16,xfsm-hibernate.png,symlink,./gnome-session-hibernate.png,29
apps/16,applets-screenshooter.png,symlink,./gnome-screenshot.png,22
apps/16,gnome-sound-properties.png,symlink,./preferences-desktop-sound.png,31
apps/16,file-roller.png,png,,441
apps/16,catfish.png,symlink,../../actions/16/system-search.png,34
apps/16,notification-area.png,symlink,./notifications.png,19
apps/16,gnome-settings-sound.png,symlink,./preferences-desktop-sound.png,31
apps/16,time-admin.png,png,,654
apps/16,config-users.png,png,,713
